dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
P,Tai Po - Tai Yuen,4,P04,1238,59,91,249,-,1858,456,826,1031,170
P,Tai Po - Fu Heng,4,P05,630,95,43,229,40,1975,630,1343,1050,282
P,Tai Po - Yee Fu,4,P06,1045,37,227,218,27,1529,616,1713,1137,410
P,Tai Po - Fu Ming Sun,4,P07,1072,49,106,129,29,1512,912,1158,1018,432
P,Tai Po - Kwong Fuk & Plover Cove,4,P08,770,87,81,301,18,1215,757,1015,896,273
P,Tai Po - Wang Fuk,4,P09,1818,136,966,1143,45,1379,2109,2949,2224,518
P,Tai Po - Tai Po Kau,4,P10,1435,144,578,756,114,1051,1631,2553,1706,431
P,Tai Po - Wan Tau Tong,4,P11,1132,86,143,201,8,1730,600,1546,1305,431
P,Tai Po - San Fu,4,P12,1265,37,444,466,-,1164,1144,1780,1253,315
P,Tai Po - Lam Tsuen Valley,4,P13,36,33,438,2376,33,62,801,2175,2854,425
P,Tai Po - Po Nga,4,P14,1366,61,190,251,40,1564,1138,2093,1477,323
P,Tai Po - Tai Wo,4,P15,926,1,97,79,7,1229,302,997,1185,439
P,Tai Po - Old Market & Serenity,4,P16,1710,46,422,432,11,1162,1123,2527,1980,425
P,Tai Po - Hong Lok Yuen,4,P17,1665,87,700,908,28,1181,1169,1974,1675,399
P,Tai Po - Shuen Wan,4,P18,2373,59,328,478,49,1473,1181,2046,1785,567
P,Tai Po - Sai Kung North,1,P19,182,164,439,1476,226,81,817,2344,1737,277
Q,Sai Kung - Sai Kung Central,Q,Q01,529,271,299,506,-,1045,796,1868,983,103
Q,Sai Kung - Pak Sha Wan,Q,Q02,543,242,787,751,-,574,1438,2562,752,131
Q,Sai Kung - Sai Kung Islands,Q,Q03,463,169,330,826,9,760,833,2050,1185,72
Q,Sai Kung - Hang Hau East,3,Q04,1458,390,867,638,56,967,1637,1768,704,437
Q,Sai Kung - Hang Hau West,3,Q05,1243,563,1259,841,73,868,2283,2900,907,504
Q,Sai Kung - Choi Kin,3,Q06,1504,160,683,199,45,1443,1665,2864,738,186
Q,Sai Kung - Kin Ming,3,Q07,909,292,490,351,55,1738,1828,2191,596,129
Q,Sai Kung - Do Shin,3,Q08,1076,791,744,146,148,284,2244,2266,435,89
Q,Sai Kung - Wai King,3,Q09,1086,464,706,109,42,259,2407,2679,637,197
Q,Sai Kung - Hoi Chun,3,Q10,1853,830,1009,188,189,556,4861,3813,835,276
Q,Sai Kung - Po Yee,3,Q11,1720,290,670,244,43,962,1551,2126,658,301
Q,Sai Kung - Fu Kwan,3,Q12,1724,517,626,165,100,997,2902,3174,720,341
Q,Sai Kung - O Tong,3,Q13,1440,410,983,229,49,584,2929,3090,763,200
Q,Sai Kung - Sheung Tak,3,Q14,1089,113,196,84,38,1927,1536,2328,453,204
Q,Sai Kung - Kwong Ming,3,Q15,1133,209,264,214,-,795,1912,2877,676,302
Q,Sai Kung - Hong King,3,Q16,739,115,437,137,97,696,1618,2123,523,139
Q,Sai Kung - Tsui Lam,3,Q17,775,70,226,107,27,1020,1161,2235,481,144
Q,Sai Kung - Po Lam,3,Q18,774,92,169,105,11,1490,1153,2190,427,109
